;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/14/2016 12:52:58 PM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x0004	0x26790000  	9849
0x0008	0x2A650000  	10853
0x000C	0x2A650000  	10853
0x0010	0x2A650000  	10853
0x0014	0x2A650000  	10853
0x0018	0x2A650000  	10853
0x001C	0x2A650000  	10853
0x0020	0x2A650000  	10853
0x0024	0x2A650000  	10853
0x0028	0x2A650000  	10853
0x002C	0x2A650000  	10853
0x0030	0x2A650000  	10853
0x0034	0x2A650000  	10853
0x0038	0x2A650000  	10853
0x003C	0x2A650000  	10853
0x0040	0x2A650000  	10853
0x0044	0x2A650000  	10853
0x0048	0x2A650000  	10853
0x004C	0x2A650000  	10853
0x0050	0x2A650000  	10853
0x0054	0x2A650000  	10853
0x0058	0x2A650000  	10853
0x005C	0x2A650000  	10853
0x0060	0x2A650000  	10853
0x0064	0x2A650000  	10853
0x0068	0x2A650000  	10853
0x006C	0x2A650000  	10853
0x0070	0x2A650000  	10853
0x0074	0x2A650000  	10853
0x0078	0x2A650000  	10853
0x007C	0x2A650000  	10853
0x0080	0x2A650000  	10853
0x0084	0x2A650000  	10853
0x0088	0x20890000  	8329
0x008C	0x2A650000  	10853
0x0090	0x2A650000  	10853
0x0094	0x2A650000  	10853
0x0098	0x2A650000  	10853
0x009C	0x2A650000  	10853
0x00A0	0x2A650000  	10853
0x00A4	0x2A650000  	10853
0x00A8	0x21050000  	8453
0x00AC	0x2A650000  	10853
0x00B0	0x22A10000  	8865
0x00B4	0x21290000  	8489
0x00B8	0x2A650000  	10853
0x00BC	0x2A650000  	10853
0x00C0	0x2A650000  	10853
0x00C4	0x2A650000  	10853
0x00C8	0x2A650000  	10853
0x00CC	0x2A650000  	10853
0x00D0	0x2A650000  	10853
0x00D4	0x2A650000  	10853
0x00D8	0x2A650000  	10853
0x00DC	0x2A650000  	10853
0x00E0	0x2A650000  	10853
0x00E4	0x2A650000  	10853
0x00E8	0x2A650000  	10853
0x00EC	0x2A650000  	10853
0x00F0	0x2A650000  	10853
0x00F4	0x2A650000  	10853
0x00F8	0x2A650000  	10853
0x00FC	0x2A650000  	10853
0x0100	0x2A650000  	10853
0x0104	0x2A650000  	10853
0x0108	0x20450000  	8261
0x010C	0x2A650000  	10853
0x0110	0x2A650000  	10853
0x0114	0x2A650000  	10853
0x0118	0x2A650000  	10853
0x011C	0x2A650000  	10853
0x0120	0x2A650000  	10853
0x0124	0x2A650000  	10853
0x0128	0x2A650000  	10853
0x012C	0x2A650000  	10853
0x0130	0x2A650000  	10853
0x0134	0x2A650000  	10853
0x0138	0x2A650000  	10853
0x013C	0x2A650000  	10853
0x0140	0x2A650000  	10853
0x0144	0x2A650000  	10853
0x0148	0x2A650000  	10853
0x014C	0x2A650000  	10853
0x0150	0x2A650000  	10853
0x0154	0x2A650000  	10853
0x0158	0x2A650000  	10853
0x015C	0x2A650000  	10853
0x0160	0x2A650000  	10853
0x0164	0x2A650000  	10853
0x0168	0x2A650000  	10853
0x016C	0x2A650000  	10853
0x0170	0x2A650000  	10853
0x0174	0x2A650000  	10853
0x0178	0x2A650000  	10853
0x017C	0x2A650000  	10853
0x0180	0x2A650000  	10853
0x0184	0x2A650000  	10853
; end of ____SysVT
_main:
;Input Capture Complete 5ch.c, 144 :: 		void main() {
