;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/7/2016 3:50:13 PM
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x0004	0x13D90000  	5081
0x0008	0x1ABD0000  	6845
0x000C	0x1ABD0000  	6845
0x0010	0x1ABD0000  	6845
0x0014	0x1ABD0000  	6845
0x0018	0x1ABD0000  	6845
0x001C	0x1ABD0000  	6845
0x0020	0x1ABD0000  	6845
0x0024	0x1ABD0000  	6845
0x0028	0x1ABD0000  	6845
0x002C	0x1ABD0000  	6845
0x0030	0x1ABD0000  	6845
0x0034	0x1ABD0000  	6845
0x0038	0x1ABD0000  	6845
0x003C	0x1ABD0000  	6845
0x0040	0x1ABD0000  	6845
0x0044	0x1ABD0000  	6845
0x0048	0x1ABD0000  	6845
0x004C	0x1ABD0000  	6845
0x0050	0x1ABD0000  	6845
0x0054	0x1ABD0000  	6845
0x0058	0x1ABD0000  	6845
0x005C	0x1ABD0000  	6845
0x0060	0x1ABD0000  	6845
0x0064	0x1ABD0000  	6845
0x0068	0x1ABD0000  	6845
0x006C	0x1ABD0000  	6845
0x0070	0x1ABD0000  	6845
0x0074	0x1ABD0000  	6845
0x0078	0x1ABD0000  	6845
0x007C	0x1ABD0000  	6845
0x0080	0x1ABD0000  	6845
0x0084	0x1ABD0000  	6845
0x0088	0x1ABD0000  	6845
0x008C	0x1ABD0000  	6845
0x0090	0x1ABD0000  	6845
0x0094	0x1ABD0000  	6845
0x0098	0x1ABD0000  	6845
0x009C	0x1ABD0000  	6845
0x00A0	0x1ABD0000  	6845
0x00A4	0x1ABD0000  	6845
0x00A8	0x1ABD0000  	6845
0x00AC	0x1ABD0000  	6845
0x00B0	0x16810000  	5761
0x00B4	0x13B50000  	5045
0x00B8	0x1ABD0000  	6845
0x00BC	0x1ABD0000  	6845
0x00C0	0x1ABD0000  	6845
0x00C4	0x1ABD0000  	6845
0x00C8	0x1ABD0000  	6845
0x00CC	0x1ABD0000  	6845
0x00D0	0x1ABD0000  	6845
0x00D4	0x1ABD0000  	6845
0x00D8	0x1ABD0000  	6845
0x00DC	0x1ABD0000  	6845
0x00E0	0x139D0000  	5021
0x00E4	0x1ABD0000  	6845
0x00E8	0x1ABD0000  	6845
0x00EC	0x1ABD0000  	6845
0x00F0	0x1ABD0000  	6845
0x00F4	0x1ABD0000  	6845
0x00F8	0x1ABD0000  	6845
0x00FC	0x1ABD0000  	6845
0x0100	0x1ABD0000  	6845
0x0104	0x1ABD0000  	6845
0x0108	0x1ABD0000  	6845
0x010C	0x1ABD0000  	6845
0x0110	0x1ABD0000  	6845
0x0114	0x1ABD0000  	6845
0x0118	0x1ABD0000  	6845
0x011C	0x1ABD0000  	6845
0x0120	0x1ABD0000  	6845
0x0124	0x1ABD0000  	6845
0x0128	0x1ABD0000  	6845
0x012C	0x1ABD0000  	6845
0x0130	0x1ABD0000  	6845
0x0134	0x1ABD0000  	6845
0x0138	0x1ABD0000  	6845
0x013C	0x1ABD0000  	6845
0x0140	0x1ABD0000  	6845
0x0144	0x1ABD0000  	6845
0x0148	0x1ABD0000  	6845
0x014C	0x1ABD0000  	6845
0x0150	0x1ABD0000  	6845
0x0154	0x1ABD0000  	6845
0x0158	0x1ABD0000  	6845
0x015C	0x1ABD0000  	6845
0x0160	0x1ABD0000  	6845
0x0164	0x1ABD0000  	6845
0x0168	0x1ABD0000  	6845
0x016C	0x1ABD0000  	6845
0x0170	0x1ABD0000  	6845
0x0174	0x1ABD0000  	6845
0x0178	0x1ABD0000  	6845
0x017C	0x1ABD0000  	6845
0x0180	0x1ABD0000  	6845
0x0184	0x1ABD0000  	6845
; end of ____SysVT
_main:
;input_capture_demo.c, 64 :: 		void main() {
0x13D8	0xB084    SUB	SP, SP, #16
0x13DA	0xF000F9A9  BL	5936
0x13DE	0xF000FB57  BL	6800
0x13E2	0xF000FCEF  BL	7620
0x13E6	0xF000F991  BL	5900
0x13EA	0xF000FC9D  BL	7464
;input_capture_demo.c, 67 :: 		init_hardware();                                                           // Initialize GPIO hardware
